iter	Passed	Remaining
411	3487	4976
412	3494	4966
413	3500	4955
414	3507	4944
415	3514	4933
416	3520	4922
417	3527	4911
418	3534	4900
419	3541	4890
420	3547	4879
421	3554	4868
422	3561	4857
423	3567	4846
424	3574	4836
425	3581	4825
426	3587	4814
427	3594	4804
428	3601	4793
429	3608	4783
430	3615	4772
431	3621	4761
432	3628	4751
433	3635	4740
434	3641	4730
435	3648	4719
436	3655	4708
437	3661	4698
438	3668	4688
439	3675	4677
440	3682	4667
441	3689	4657
442	3695	4647
443	3702	4636
444	3709	4626
445	3716	4615
446	3722	4605
447	3729	4595
448	3736	4585
449	3742	4574
450	3749	4564
451	3756	4554
452	3763	4544
453	3769	4533
454	3776	4523
455	3783	4513
456	3790	4503
457	3796	4493
458	3803	4482
459	3810	4472
460	3816	4462
461	3823	4452
462	3830	4442
463	3836	4432
464	3843	4422
465	3850	4412
466	3857	4402
467	3864	4392
468	3870	4382
469	3877	4372
470	3884	4362
471	3891	4353
472	3898	4343
473	3905	4333
474	3911	4323
475	3918	4313
476	3924	4303
477	3931	4293
478	3937	4283
479	3944	4273
480	3951	4263
481	3958	4253
482	3964	4243
483	3971	4233
484	3977	4224
485	3987	4216
486	3994	4207
487	4001	4197
488	4007	4188
489	4014	4178
490	4021	4168
491	4027	4158
492	4034	4148
493	4041	4139
494	4047	4129
495	4054	4119
496	4061	4110
497	4067	4100
498	4074	4090
499	4081	4081
500	4087	4071
501	4094	4061
502	4100	4052
503	4107	4042
504	4114	4032
505	4121	4023
506	4127	4013
507	4134	4004
508	4141	3995
509	4148	3985
510	4154	3975
511	4161	3966
512	4168	3956
513	4175	3947
514	4181	3938
515	4188	3928
516	4194	3918
517	4201	3909
518	4208	3900
519	4214	3890
520	4221	3881
521	4227	3871
522	4234	3862
523	4242	3853
524	4248	3844
525	4255	3834
526	4262	3825
527	4269	3816
528	4275	3806
529	4282	3797
530	4298	3796
531	4313	3794
532	4327	3791
533	4341	3789
534	4360	3789
535	4374	3787
536	4386	3781
537	4398	3777
538	4410	3772
539	4422	3767
540	4434	3762
541	4447	3758
542	4460	3753
543	4471	3747
544	4484	3744
545	4496	3739
546	4508	3733
547	4521	3729
548	4533	3724
549	4545	3719
550	4558	3714
551	4570	3709
552	4582	3704
553	4594	3699
554	4607	3694
555	4619	3688
556	4632	3684
557	4645	3679
558	4658	3674
559	4669	3668
560	4682	3664
561	4695	3659
562	4709	3655
563	4723	3651
564	4735	3645
565	4748	3641
566	4761	3636
567	4774	3631
568	4787	3626
569	4799	3620
570	4811	3614
571	4823	3609
572	4836	3603
573	4849	3599
574	4861	3592
575	4875	3588
576	4889	3584
577	4901	3578
578	4913	3572
579	4927	3567
580	4939	3562
581	4951	3556
582	4964	3550
583	4977	3545
584	4989	3539
585	5001	3533
586	5014	3527
587	5027	3522
588	5042	3518
589	5050	3509
590	5057	3500
591	5064	3490
592	5070	3480
593	5077	3470
594	5084	3460
595	5091	3451
596	5097	3441
597	5104	3431
598	5111	3421
599	5117	3411
600	5124	3402
601	5131	3392
602	5137	3382
603	5144	3372
604	5151	3363
605	5157	3353
606	5164	3343
607	5170	3333
608	5177	3324
609	5184	3314
610	5191	3304
611	5197	3295
612	5204	3285
613	5212	3276
614	5218	3266
615	5225	3257
616	5232	3248
617	5239	3238
618	5246	3229
619	5252	3219
620	5259	3209
621	5266	3200
622	5273	3190
623	5279	3181
624	5286	3172
625	5293	3162
626	5299	3152
627	5306	3143
628	5313	3133
629	5320	3124
630	5326	3115
631	5333	3105
632	5340	3096
633	5347	3086
634	5354	3077
635	5361	3068
636	5372	3061
637	5385	3055
638	5392	3046
639	5398	3036
640	5405	3027
641	5412	3017
642	5418	3008
643	5425	2999
644	5432	2989
645	5438	2980
646	5445	2971
647	5452	2961
648	5458	2952
649	5465	2942
650	5471	2933
651	5478	2924
652	5487	2915
653	5493	2906
654	5500	2897
655	5507	2888
656	5514	2879
657	5528	2873
658	5542	2867
659	5556	2862
660	5569	2856
661	5576	2847
662	5583	2838
663	5590	2829
664	5597	2819
665	5604	2810
666	5610	2801
667	5617	2791
668	5624	2782
669	5634	2775
670	5644	2767
671	5651	2758
672	5658	2749
673	5664	2739
674	5671	2730
675	5678	2721
676	5684	2712
677	5691	2702
678	5698	2693
679	5704	2684
680	5711	2675
681	5718	2666
682	5724	2657
683	5731	2647
684	5738	2638
685	5744	2629
686	5751	2620
687	5759	2611
688	5766	2602
689	5772	2593
690	5779	2584
691	5786	2575
692	5792	2566
693	5806	2560
694	5815	2552
695	5822	2543
696	5829	2534
697	5835	2524
698	5842	2515
699	5849	2506
700	5856	2497
701	5864	2489
702	5871	2480
703	5877	2471
704	5884	2462
705	5891	2453
706	5897	2444
707	5904	2435
708	5911	2426
709	5917	2417
710	5924	2408
711	5931	2399
712	5937	2390
713	5944	2381
714	5951	2372
715	5957	2363
716	5964	2354
717	5971	2345
718	5977	2336
719	5987	2328
720	5994	2319
721	6001	2310
722	6008	2302
723	6015	2293
724	6022	2284
725	6029	2275
726	6035	2266
727	6042	2257
728	6049	2248
729	6055	2239
730	6062	2231
731	6069	2222
732	6076	2213
733	6082	2204
734	6089	2195
735	6096	2186
736	6102	2177
737	6109	2168
738	6116	2160
739	6123	2151
740	6130	2142
741	6136	2133
742	6143	2125
743	6151	2116
744	6157	2107
745	6164	2098
746	6170	2090
747	6177	2081
748	6184	2072
749	6191	2063
750	6199	2055
751	6206	2046
752	6215	2038
753	6221	2029
754	6228	2021
755	6235	2012
756	6241	2003
757	6248	1994
758	6255	1986
759	6263	1978
760	6271	1969
761	6277	1960
762	6284	1952
763	6291	1943
764	6297	1934
765	6304	1925
766	6311	1917
767	6317	1908
768	6324	1899
769	6331	1891
770	6338	1882
771	6346	1874
772	6352	1865
773	6359	1856
774	6366	1848
775	6373	1839
776	6379	1831
777	6386	1822
778	6393	1813
779	6400	1805
780	6406	1796
781	6413	1787
782	6419	1779
783	6426	1770
784	6433	1761
785	6439	1753
786	6446	1744
787	6453	1736
788	6459	1727
789	6466	1718
790	6473	1710
791	6482	1702
792	6489	1694
793	6496	1685
794	6503	1676
795	6509	1668
796	6516	1659
797	6523	1651
798	6529	1642
799	6536	1634
800	6543	1625
801	6549	1617
802	6556	1608
803	6563	1600
804	6570	1591
805	6576	1583
806	6583	1574
807	6590	1566
808	6596	1557
809	6603	1549
810	6610	1540
811	6617	1532
812	6624	1523
813	6630	1515
814	6637	1506
815	6644	1498
816	6651	1489
817	6657	1481
818	6664	1472
819	6671	1464
820	6678	1456
821	6685	1447
822	6691	1439
823	6698	1430
824	6705	1422
825	6712	1413
826	6718	1405
827	6725	1397
828	6732	1388
829	6738	1380
830	6745	1371
831	6752	1363
832	6758	1354
833	6765	1346
834	6772	1338
835	6778	1329
836	6785	1321
837	6792	1313
838	6801	1305
839	6808	1296
840	6814	1288
841	6821	1280
842	6828	1271
843	6834	1263
844	6841	1255
845	6848	1246
846	6854	1238
847	6861	1229
848	6868	1221
849	6875	1213
850	6881	1204
851	6888	1196
852	6895	1188
853	6902	1179
854	6908	1171
855	6915	1163
856	6922	1155
857	6929	1146
858	6935	1138
859	6942	1130
860	6949	1121
861	6957	1113
862	6964	1105
863	6971	1097
864	6980	1089
865	6987	1081
866	6994	1072
867	7001	1064
868	7007	1056
869	7014	1048
870	7021	1039
871	7027	1031
872	7034	1023
873	7041	1015
874	7047	1006
875	7054	998
876	7061	990
877	7067	982
878	7074	973
879	7081	965
880	7087	957
881	7094	949
882	7101	940
883	7107	932
884	7114	924
885	7121	916
886	7127	908
887	7134	899
888	7141	891
889	7148	883
890	7154	875
891	7161	867
892	7168	858
893	7174	850
894	7181	842
895	7188	834
896	7195	826
897	7203	818
898	7209	810
899	7216	801
900	7223	793
901	7229	785
902	7236	777
903	7243	769
904	7250	761
905	7256	752
906	7263	744
907	7270	736
908	7277	728
909	7284	720
910	7290	712
911	7298	704
912	7305	696
913	7311	687
914	7318	679
915	7325	671
916	7331	663
917	7338	655
918	7345	647
919	7352	639
920	7358	631
921	7365	623
922	7372	615
923	7378	606
924	7385	598
925	7392	590
926	7398	582
927	7405	574
928	7412	566
929	7419	558
930	7425	550
931	7432	542
932	7439	534
933	7445	526
934	7452	518
935	7459	510
936	7465	501
937	7474	494
938	7481	486
939	7488	478
940	7495	469
941	7502	461
942	7508	453
943	7515	445
944	7522	437
945	7528	429
946	7535	421
947	7542	413
948	7549	405
949	7555	397
950	7562	389
951	7568	381
952	7575	373
953	7582	365
954	7589	357
955	7595	349
956	7602	341
957	7609	333
958	7615	325
959	7622	317
960	7629	309
961	7636	301
962	7643	293
963	7649	285
964	7656	277
965	7663	269
966	7669	261
967	7676	253
968	7683	245
969	7690	237
970	7696	229
971	7703	221
972	7709	213
973	7716	205
974	7723	198
975	7729	190
976	7736	182
977	7743	174
978	7750	166
979	7756	158
980	7763	150
981	7770	142
982	7777	134
983	7783	126
984	7790	118
985	7796	110
986	7803	102
987	7810	94
988	7816	86
989	7823	79
990	7829	71
991	7836	63
992	7843	55
993	7849	47
994	7856	39
995	7863	31
996	7870	23
997	7876	15
998	7883	7
999	7890	0
