iter	Logloss
0	0.6573843106
1	0.6237973711
2	0.5952308089
3	0.5674646633
4	0.5427583986
5	0.5233579607
6	0.5037678596
7	0.4876026171
8	0.4701628841
9	0.4559798563
10	0.4436707561
11	0.4314650687
12	0.4217902486
13	0.4131768978
14	0.4062047021
15	0.3974840292
16	0.3903745668
17	0.3842774797
18	0.3782708429
19	0.3734700969
20	0.3684493752
21	0.3649029425
22	0.3609821985
23	0.3574435065
24	0.3544849054
25	0.3517069443
26	0.3501732678
27	0.3472843414
28	0.3449954493
29	0.3428294994
30	0.3407243564
31	0.3394866273
32	0.337770327
33	0.3361465478
34	0.3344642482
35	0.3329416477
36	0.3317661206
37	0.3305403001
38	0.3294454937
39	0.3284326734
40	0.3272546618
41	0.3261254325
42	0.3253767336
43	0.324465823
44	0.3238492829
45	0.3228976014
46	0.3222065248
47	0.3216301767
48	0.3205866943
49	0.3196963062
50	0.3187770925
51	0.3180740336
52	0.3174134607
53	0.3168396496
54	0.3160580014
55	0.3153202884
56	0.3147742764
57	0.313718693
58	0.3130773912
59	0.3124898752
60	0.3119607542
61	0.3114363548
62	0.3109277394
63	0.310485753
64	0.3101323162
65	0.3096713924
66	0.3092146961
67	0.30889621
68	0.308498241
69	0.3080685433
70	0.3076996232
71	0.3072732261
72	0.3069057713
73	0.3064410942
74	0.306009705
75	0.3056405293
76	0.3053203581
77	0.3050032688
78	0.3047181726
79	0.3044361881
80	0.3041536712
81	0.3038721789
82	0.3035052862
83	0.3032089835
84	0.3030110477
85	0.3024956725
86	0.3022483049
87	0.3019775934
88	0.3017500383
89	0.301539652
90	0.3012790024
91	0.3008724592
92	0.3005998592
93	0.3003185174
94	0.2999602087
95	0.2997811166
96	0.2994961509
97	0.2993337551
98	0.299111015
99	0.298843609
100	0.2986275277
101	0.2984312066
102	0.2981945389
103	0.2979845427
104	0.2977036969
105	0.2974604016
106	0.2972363348
107	0.2970038393
108	0.2967853458
109	0.2965379286
110	0.2963578485
111	0.2961830093
112	0.2958368212
